state_x,state_y,action,q_value
11,8,MOVE_RIGHT,0.0
12,8,MOVE_DOWN,0.0
12,9,MOVE_LEFT,0.0
11,9,MOVE_UP,0.0
12,8,MOVE_UP,1.0114398193640186
12,7,MOVE_DOWN,0.0
12,8,MOVE_RIGHT,0.0
4,1,MOVE_DOWN,72.38972444644658
6,5,MOVE_DOWN,11.983618511682602
6,6,MOVE_RIGHT,15.023610657945182
7,6,MOVE_LEFT,3.6698980815420805
6,6,MOVE_UP,0.0
5,0,MOVE_LEFT,62.619644392430324
0,6,MOVE_UP,54.876580598180155
0,7,MOVE_DOWN,4.590054341034047
0,8,MOVE_UP,27.351811740360905
1,8,MOVE_LEFT,14.122120145822855
0,8,MOVE_DOWN,4.046897326237632
0,9,MOVE_UP,4.433243569544002
0,8,MOVE_RIGHT,5.885665834163231
1,8,MOVE_UP,7.303924698598934
2,7,MOVE_LEFT,42.78850856218153
1,7,MOVE_LEFT,8.491102887469209
0,7,MOVE_UP,49.33217623959511
1,6,MOVE_RIGHT,53.16374394159307
2,6,MOVE_RIGHT,52.27394814469137
2,5,MOVE_LEFT,57.03946899900402
6,5,MOVE_LEFT,4.34426803288685
5,6,MOVE_LEFT,30.15282637308387
4,6,MOVE_RIGHT,10.568034206406665
4,7,MOVE_RIGHT,16.84535919699874
5,7,MOVE_UP,15.345876893907835
5,8,MOVE_DOWN,8.136416742147114
5,9,MOVE_RIGHT,9.787179041066018
6,9,MOVE_LEFT,14.735213158845895
5,9,MOVE_DOWN,2.350797729231434
5,10,MOVE_DOWN,0.0
5,11,MOVE_UP,1.6553587752126946
5,11,MOVE_DOWN,0.597
5,12,MOVE_RIGHT,0.0
6,12,MOVE_RIGHT,0.7720012128809999
7,12,MOVE_LEFT,0.0
6,12,MOVE_DOWN,0.0
6,13,MOVE_UP,0.0
6,12,MOVE_UP,0.0
6,11,MOVE_LEFT,0.0
5,11,MOVE_RIGHT,2.1211064694164703
6,11,MOVE_DOWN,0.3
6,13,MOVE_LEFT,0.0
5,13,MOVE_RIGHT,0.597
6,12,MOVE_LEFT,0.0
7,12,MOVE_DOWN,0.0
7,13,MOVE_DOWN,0.0
7,14,MOVE_LEFT,0.47315337299999993
6,14,MOVE_DOWN,0.0
2,5,MOVE_UP,63.62528720441206
1,5,MOVE_RIGHT,62.544933600439045
3,4,MOVE_LEFT,61.81023480934909
7,5,MOVE_DOWN,12.469015996128778
7,6,MOVE_RIGHT,16.343887249771473
8,6,MOVE_UP,3.1202188047735033
3,7,MOVE_UP,52.06499409586622
3,6,MOVE_LEFT,58.7072158512443
5,7,MOVE_RIGHT,5.911173358640303
6,7,MOVE_UP,3.304177269748964
6,0,MOVE_LEFT,62.44974339236953
7,0,MOVE_RIGHT,54.54494289727715
8,0,MOVE_DOWN,57.19202253851609
8,1,MOVE_RIGHT,28.851828054271696
9,2,MOVE_LEFT,43.50067889556217
8,2,MOVE_UP,62.62792573447309
9,1,MOVE_RIGHT,3.330855802240483
10,1,MOVE_DOWN,5.836140501033077
10,2,MOVE_DOWN,8.302566692879704
10,3,MOVE_RIGHT,2.6904472157105905
11,3,MOVE_LEFT,1.4768708832542599
10,3,MOVE_DOWN,3.7641433073646615
10,5,MOVE_LEFT,4.26024571439094
9,5,MOVE_LEFT,10.446064759901958
8,5,MOVE_LEFT,10.505787221459608
7,6,MOVE_DOWN,11.773686709598874
7,7,MOVE_RIGHT,4.580711715308625
8,7,MOVE_RIGHT,9.664031233886291
9,7,MOVE_DOWN,2.318177712894244
9,8,MOVE_LEFT,10.883730418010709
8,8,MOVE_LEFT,2.4481624204826224
7,8,MOVE_LEFT,9.37438226826363
6,8,MOVE_DOWN,4.529571674371741
6,9,MOVE_RIGHT,7.77922114974249
7,9,MOVE_RIGHT,5.187319060372744
8,9,MOVE_DOWN,1.9993249339694361
8,1,MOVE_DOWN,51.647432957383884
10,1,MOVE_RIGHT,2.1084697513876405
11,1,MOVE_DOWN,2.2656061987402016
11,2,MOVE_DOWN,2.158881547250423
6,6,MOVE_DOWN,11.623255976026933
6,7,MOVE_DOWN,5.412843984490895
7,0,MOVE_LEFT,61.891957445124255
7,1,MOVE_UP,70.53426832396929
8,0,MOVE_LEFT,59.95211669197885
9,0,MOVE_RIGHT,5.387799391275411
10,0,MOVE_DOWN,4.259889531115719
10,3,MOVE_LEFT,29.10498657337845
9,3,MOVE_DOWN,4.43341276738167
9,8,MOVE_RIGHT,2.677560459832506
10,8,MOVE_UP,1.844549863515161
10,7,MOVE_RIGHT,3.15788825807078
11,7,MOVE_UP,3.3647762183342502
11,6,MOVE_RIGHT,3.7510766909821927
12,6,MOVE_UP,2.775272693155233
12,5,MOVE_LEFT,2.3641368463529284
11,5,MOVE_LEFT,2.9598820007153197
8,5,MOVE_DOWN,17.049825944698195
8,6,MOVE_RIGHT,6.710713958948767
9,6,MOVE_LEFT,1.4803478109838175
8,6,MOVE_DOWN,17.984155176446727
9,8,MOVE_DOWN,2.1193455811378588
9,9,MOVE_DOWN,1.297
9,10,MOVE_LEFT,1.7458105346685844
8,10,MOVE_DOWN,2.3965984504328772
8,11,MOVE_RIGHT,2.2567660096216327
9,11,MOVE_LEFT,1.1309455475060854
9,11,MOVE_DOWN,2.1987553408221485
9,12,MOVE_LEFT,1.7468650496976998
8,12,MOVE_DOWN,2.287563338402837
8,13,MOVE_LEFT,1.7032980213256568
7,13,MOVE_UP,2.0572647435540206
7,12,MOVE_UP,1.7744935609849029
7,11,MOVE_LEFT,2.2290666326091015
6,11,MOVE_UP,2.758471969678804
6,10,MOVE_RIGHT,6.190060557456916
7,10,MOVE_UP,12.27429011957189
7,9,MOVE_LEFT,3.4527986083516886
6,9,MOVE_DOWN,2.9587296859785654
7,9,MOVE_UP,19.396202568930512
6,8,MOVE_RIGHT,16.31119522143896
7,10,MOVE_RIGHT,2.305397809983593
6,10,MOVE_DOWN,1.8837591096717692
7,9,MOVE_DOWN,9.3057558098239
6,9,MOVE_UP,8.154785177756892
6,8,MOVE_UP,12.198911101156096
7,8,MOVE_RIGHT,23.217065030242047
8,9,MOVE_UP,8.406682093894574
5,9,MOVE_LEFT,17.83638384611565
4,9,MOVE_DOWN,4.3138540505250695
4,10,MOVE_LEFT,3.4091567743372186
3,10,MOVE_DOWN,3.727346694066536
3,11,MOVE_RIGHT,3.210648862674549
4,11,MOVE_RIGHT,2.2204711350704045
5,11,MOVE_LEFT,1.7390896786296388
5,10,MOVE_RIGHT,4.630226140901325
6,10,MOVE_UP,7.100983863159847
4,10,MOVE_UP,2.543745914404119
4,11,MOVE_LEFT,2.208482943172852
5,12,MOVE_LEFT,1.297
4,12,MOVE_DOWN,2.0949841440999997
4,13,MOVE_LEFT,2.3409279685195767
3,13,MOVE_DOWN,2.4872759253707466
3,14,MOVE_DOWN,2.5445822516421295
3,15,MOVE_DOWN,2.32292334704839
3,16,MOVE_DOWN,1.8883296729999999
3,17,MOVE_DOWN,1.8883296729999999
3,18,MOVE_LEFT,1.5931089999999999
2,18,MOVE_LEFT,1.8883296729999999
1,18,MOVE_UP,1.5931089999999999
1,17,MOVE_UP,1.297
1,16,MOVE_LEFT,1.297
0,16,MOVE_DOWN,1.297
0,17,MOVE_DOWN,1.5931089999999999
0,18,MOVE_DOWN,1.8883296729999999
0,19,MOVE_RIGHT,1.8527028517809998
1,19,MOVE_RIGHT,1.425511502881
2,19,MOVE_RIGHT,1.407172851781
3,19,MOVE_RIGHT,1.9144491517809998
4,19,MOVE_UP,1.6193070729999999
4,18,MOVE_UP,1.297
4,17,MOVE_RIGHT,1.297
